"Instagram","Bike","Fork","Rear Shock","Handlebar","Dropper Post","Saddle","Crankset","Derailleur","Brake Lever","Brake Caliper","Wheels","Tires","Pedals","Shoes","Helmet","Protection","Goggles"
"jennnahastings","Pivot;Phoenix;Carbon mullet DW6 dual-chain","Fox;40 Factory GRIP X2;200mm","Fox;X2 Factory","","","","SRAM","SRAM;GX DH","Shimano;Saint","Shimano;Saint + Galfer rotors","","Continental;Kryptotal (F) + Argotal (R)","","","","",""
"_phoebegale","Orbea;Rallon DH;Carbon mullet 200mm","Fox;40 Factory GRIP X2;200mm","Fox;Float X2 Factory","Renthal;Fatbar","Fox;Transfer Factory Live Valve Neo;Wireless","Fizik","Shimano;XTR","Shimano;XTR;12-speed","Shimano;XTR;4-piston","Shimano;XTR","Oquo;Mountain Control MC32 TEAM","Maxxis;Assegai (F) + DHR II (R);DH MaxxGrip","Crankbrothers;Mallet DH","","","",""
"tillymelton7","Yeti;Special Projects DH;Prototype","Fox","Fox","","","","","","","","","","","","","",""
"myriam_nicole","Commençal;Supreme DH V5;Mullet 29/27.5 220mm","RockShox;Boxxer Ultimate;BlackBox custom","RockShox;Super Deluxe / Vivid","Enve","","","SRAM;XO DH","SRAM;XO DH","SRAM;Code RSC","SRAM;Code RSC;200/220mm rotors","Crankbrothers;Synthesis DH Carbon","Schwalbe;prototype tires","Crankbrothers","","","",""
"vero_widmann","Mondraker;Summum;Mullet Zero Suspension System","Fox;40","Fox;DHX2","","","","SRAM","SRAM;GX DH","SRAM;Maven","SRAM;Maven","e*thirteen;Grappler Flux","","","","","",""
"valenrs5","Zerode;G3;Aluminium gearbox high-pivot DH","SR Suntour;RUX 29;Custom damper tune","SR Suntour;Voro Coil;Custom Styrian Flow","Renthal;FatBar Carbon 31.8mm;20mm rise","SDG;Carbon I-Fly","SDG;Carbon I-Fly","Pinion;Ci6 SmartShift;155mm cranks","Pinion;Ci6;Gates Carbon Drive belt","Hope;Evo lever","Hope;TR4 (F) + GR4 (R);200mm rotors","Hope;Pro 5 hubs + Fortus 25/30;MX","Michelin;DH22 Racing Line;2.4""","Crankbrothers;Mallet DH","","","",""
"lisa_bouladou","Santa Cruz;V10;Carbon VPP","Fox;40 Factory","Fox;DHX2","Burgtec","","","Shimano;Saint","Shimano;Saint","Shimano;Saint","Shimano;Saint + Galfer rotors","","","","","","",""
"tahneeseagrave","Orbea;Rallon DH;Carbon mullet 200mm","Fox;40 Factory GRIP X2;200mm","Fox;Float X2 Factory;Custom tune","Oquo;Mountain Control MC20 Alu SL;800mm","","","Shimano;Saint M820","Shimano;Saint M820","Shimano;XTR","Shimano;XTR + Galfer rotors 200mm","Oquo;MC32 TEAM;29"" F + 27.5"" R","Maxxis;Assegai (F) + DHR II (R);DH MaxxGrip","","","Fox Racing","Fox Racing","Fox Racing"
"graceyhemstreet","Norco;Prototype DH;Carbon rear triangle MX","Fox;40 Factory GRIP X2;78 PSI","Fox;DHX2;Sprindex coil ~465lb","Cast Components;20mm rise;760mm","","","Shimano;Saint;36T 165mm","Shimano;Saint","Shimano;XTR M9120","Shimano;XTR M9120;203mm rotors","Crankbrothers;Synthesis DH Carbon;Chris King hubs MX","Maxxis;Assegai (F) + DHR II (R);DH casing","","Five Ten;Hellcat Pro clipless","","",""
"frida9","Crestline;RS 205 VHP;Custom DH","RockShox","RockShox;Vivid","","","","","SRAM","SRAM;Maven","SRAM;Maven","","","","","","",""
"lais_bonnaure","","","","","","","","","","","","","","","","",""
