"Instagram","Bike","Fork","Rear Shock","Handlebar","Dropper Post","Saddle","Crankset","Derailleur","Brake Lever","Brake Caliper","Wheels","Tires","Pedals","Shoes","Helmet","Protection","Goggles"
"pinkerton.ryan","Mondraker;Summum;2025 Zero Suspension System","RockShox;Boxxer Ultimate 29""","RockShox;Vivid Coil Ultimate","","","","SRAM;XX DH AXS T-Type;7-speed","SRAM;XX DH AXS T-Type","SRAM;Maven Ultimate","SRAM;Maven Ultimate","DT Swiss;EX1700","","Crankbrothers","100%","100%;Status","100%","100%;Armega"
"bodhi_kuhn","Norco;Aurum HSP","","","","","","","","","","","","","Five Ten","POC","POC","POC"
"henri_kiefer","Canyon;Sender CFR","RockShox;Boxxer","RockShox;Vivid Coil","Canyon;G5","","","SRAM;X0 DH","SRAM;X0 DH;7-speed","SRAM;Maven","SRAM;Maven","DT Swiss","Maxxis","Crankbrothers;Mallet DH","","","",""
"stefano_introzzi","","","","","","","","","","","","","","","","",""
"nathan.pontvianne","Santa Cruz;V10;MX mullet","Fox;40","Fox;DHX2","Burgtec;Ride Wide","Burgtec;Xpress","Burgtec;Cloud","","SRAM","SRAM;Maven","Galfer;brake discs","","","","","","",""
"angelsuarezdh","Frameworks;DH","Fox;40 Factory","Fox;RAD prototype","Spank;Spike 35 Vibrocore","","","5DEV;R-SPEC;165mm + Ochain","SRAM;X0 DH","TRP;EVO PRO","TRP;EVO PRO","ENVE;Dark6;Mullet MX","Continental;Argotal (F) + Kryptotal (R);DH SuperSoft","Crankbrothers;Mallet DH","","","",""
"dylan.maples","Pivot;Phoenix;2026","Fox;40","Fox;Float X2","Renthal;FatBar 35mm;30mm rise 770mm","","WTB;Solano","Shimano;Saint;165mm dual-chain","Shimano;Saint;10-speed","Shimano;XTR","Shimano;Saint / XTR","Reynolds;Blacklabel DH 287r;MX","Continental;Argotal DH","Crankbrothers;Mallet DH","","","",""
"antoinepierron5","Commençal;Supreme DH V5.2;Mullet","Fox;40 Factory","Fox;Float X2","Burgtec;Ride Wide DH","Burgtec;Xpress","","SRAM;X01 DH","SRAM;X01 DH;7-speed","SRAM;Code","SRAM;Code","","Schwalbe;Magic Mary (F) + Tacky Chan (R)","","","","",""
"antoine.rogge","","","","","","","","","","","","","","","","",""
"olliedavis.6","Trek;Session;Prototype 2025","RockShox;Boxxer","RockShox;Vivid Coil","Burgtec","","","SRAM","SRAM","SRAM;Maven","SRAM;Maven","DT Swiss","Maxxis","Crankbrothers","","Fox Racing","Fox Racing",""
"luke_ms1","Giant;Glory Advanced;Size M/L","Fox;40;98 PSI 5 volume spacers","Fox;DHX2;500lb coil CL130","Burgtec;alloy 31.8mm;30mm rise","","Burgtec;The Cloud","Shimano;Saint;165mm + Ochain 9°","Shimano;Saint","Shimano;Saint;Finned metallic pads","Shimano;Saint;200mm front+rear","Giant;Custom team spec;MX 447mm CS","Maxxis;Assegai 29""×2.5 (F) + DHR II 27.5""×2.4 (R);CushCore Pro","Shimano;Saint","","","",""
"charlie_hatton1","Atherton;A.200.G;Prototype belt gearbox Ti-lug DW6","Fox;40 Factory;200mm","Fox;DHX2 Factory","FSA;Gradient aluminum;770mm 25mm rise","","","North Shore Billet;155mm;Pinion 9-speed gearbox","Pinion;Smart.Shift;Gates Carbon Drive belt","Hayes;Dominion A4","Hayes;Dominion A4;223mm Galfer F + 203mm R","Mavic","Continental;Kryptotal;Front SuperSoft 24 PSI + rear 28 PSI","","","","",""
"tuhoto_ariki","Zerode;G3;Gearbox belt-drive","","","","","","Pinion;gearbox","Pinion;gearbox / Gates belt","Hope;EVO V6Ti;6-piston","Hope;EVO V6Ti;2.3mm rotors F+R","","","","","","",""
"daknorton","Scott;Gambler;XL team race spec","Fox;40 Factory","Fox;Float X2;Hidden inside frame","","","Syncros;Kaslo","Shimano;Saint;160mm","Shimano;Saint","Shimano;Saint","Shimano;Saint;TRP rotors","Race Face;ARC 30 Heavy Duty","Michelin;DH","Shimano;Saint","","","",""
"reecowilson","Gamux;Sego;Prototype gearbox belt-drive","Manitou;Dorado Pro","Manitou;Mara Pro DH","","","","Pinion;gearbox","Pinion;Smart.Shift / Gates belt","","","","","","","","",""
"lukewayman1","Atherton;A.200.G;Prototype belt gearbox Ti-lug","Fox;40 Grip X2;MY27","Fox;DHX2;500lb spring","FSA;Gradient;770mm 25mm rise","","","North Shore Billet;155mm;Pinion 9-speed","Pinion;Smart.Shift;Gates belt","Hayes;Dominion A4","Hayes;Dominion A4;Galfer 223mm F + 203mm R red pads","Mavic;MX mullet","Continental;Argotal;24 PSI F + 27 PSI R","","","","",""
"tyler_waite1","Yeti;Special Projects DH;High-pivot 6-bar prototype","Fox;40 Factory","Fox;DHX2;575lb spring","Burgtec;Ride Wide DH Carbon","","","Shimano;Saint","Shimano;Saint","Shimano;Saint","Shimano;Saint;203mm rotors","DT Swiss;FR1500;MX mullet","Maxxis","Crankbrothers;Mallet DH","","","",""
"bode_burke","Commençal;Supreme DH V5.2;Team spec","Fox;40 Factory","Fox;Float X2","Burgtec","","","SRAM;X01 DH","SRAM;X01 DH","SRAM;Code","SRAM;Code","","Schwalbe","","","","",""
"benoitcoulanges","Scott;Gambler;XL progressive flip chip","Fox;40 Factory","Fox;Float X2;Hidden inside frame","","","Syncros;Kaslo","Shimano;Saint;160mm","Shimano;Saint","SRAM;Maven","SRAM;Maven","Race Face;ARC 30 Heavy Duty","Maxxis","Shimano;Saint","","","",""
"lachiestevensmcnab","Trek;Session;Prototype 2025","RockShox;Boxxer","RockShox;Vivid Coil","Burgtec","","","SRAM","SRAM","SRAM;Maven","SRAM;Maven","DT Swiss","Maxxis","Crankbrothers","","Fox Racing","Fox Racing",""
"max_alran_5","Commençal;Supreme DH V5.2;Mullet","Fox;40 Factory 29""","Fox;Float X2","Burgtec;Ride Wide DH","Burgtec;Xpress","Fizik;Alpaca X5","SRAM;X01 DH;165mm 36T","SRAM;X01 DH;7-speed","SRAM;Code Ultimate","SRAM;Code Ultimate;220mm rotors","Crankbrothers;Synthesis DH","Schwalbe;Magic Mary (F) + Tacky Chan (R)","HT;X3Ti","","","DHaRCO",""
"martin_maes5","Orbea;Rallon DH;200mm GravityLink","","","","","","","","","","","","","","","",""
"evanmedcalf","Commençal;Supreme DH V5.2;Mullet","Fox;40 Factory","Fox;Float X2","Burgtec;Ride Wide DH","Burgtec;Xpress","","SRAM;X01 DH","SRAM;X01 DH;7-speed","SRAM;Code","SRAM;Code","","Schwalbe;Magic Mary (F) + Tacky Chan (R)","","","","",""
"andreas.kolb66","Santa Cruz;V10;Carbon XL MX","Fox;40 RAD prototype","Fox;DHX2;Custom AK tune","OneUp;Carbon V2","Burgtec;Xpress","Burgtec;Cloud Boost","Shimano;Saint;+ Ochain","Shimano;Saint","Shimano;Prototype","Shimano;Prototype caliper","Reserve;30DH Carbon;Chris King hubs MX","Maxxis;Prototype DH;MaxxGrip 29""+27.5""","Crankbrothers;Mallet DH","","","",""
"rogervieira8","Pivot;Phoenix;S1 +6mm reach headset","Fox;40;70 PSI 2 volume spacers","Fox;Float X2;240 PSI 20cc spacers","Renthal;FatBar 35mm;30mm rise 770mm","","WTB;Solano","Shimano;Saint;165mm dual-chain","Shimano;Saint;10-speed","Shimano;XTR","Shimano;XTR + Saint;203mm rotors","Reynolds;Blacklabel DH 287r;MX mullet","Continental;Argotal DH SuperSoft;22 PSI F + 26 PSI R","Crankbrothers;Mallet DH","","","",""
"aarongwin1","Frameworks;DH","Fox;Factory","Fox;Factory","Burgtec","","","5DEV","TRP;EVO DH","TRP;EVO PRO","TRP;EVO PRO","ENVE","Continental","","Bell","","",""
"george.madley.mtb","Atherton;A.200.G;Prototype","Fox;40 Grip X2","Fox;DHX2;500lb spring","FSA;Gradient;770mm 25mm rise","","","North Shore Billet;155mm;Pinion gearbox","Pinion;Smart.Shift;Gates belt","Hayes;Dominion A4","Hayes;Dominion A4;Galfer rotors","Mavic","Continental;Kryptotal;Downhill SuperSoft","","","","",""
"richie_rude1","Yeti;Special Projects DH;High-pivot 6-bar prototype","Fox;40 Factory","Fox;DHX2;575lb spring","Burgtec;Ride Wide DH Carbon","","","Shimano;Saint","Shimano;Saint","Shimano;Saint","Shimano;Saint;203mm rotors","DT Swiss;FR1500;MX mullet","Maxxis;Assegai (F) + DHR2 (R);3C DH","Crankbrothers;Mallet DH","","","",""
"loicbruni29","Specialized;Demo;Prototype pre-Demo11","Ohlins;DH38;Prototype electronic","Ohlins;Prototype coil;Bar-mounted remote","Joystick;Analog Carbon;35mm 780mm 20mm rise","","","SRAM;AXS Eagle T-Type;165mm","SRAM;AXS Eagle T-Type;Wireless","Brembo;Prototype;2025 race season","Brembo;Prototype caliper","DT Swiss;EX471 + DT Swiss 240;MX mullet","Specialized;Grid Gravity / Hillbilly;DH casing","Crankbrothers;Mallet DH","Specialized;2FO DH Clip","Alpinestars","Alpinestars","100%;Status"
